中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.139.160,443,192.9.139.160,US,San Jose,中转,44 ms,425 Mbps,54476 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,51 ms,305 Mbps,39116 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,37 ms,5 Mbps,745 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,68 ms,252 Mbps,32358 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,102 ms,39 Mbps,5051 kB/s
141.147.165.223,443,140.238.41.131,JP,Tokyo,隧道,142 ms,82 Mbps,10547 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,152 ms,39 Mbps,5027 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,153 ms,19 Mbps,2557 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,112 ms,36 Mbps,4720 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,196 ms,39 Mbps,5093 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,286 ms,1 Mbps,170 kB/s
